Toi, va me schtroumpfer des nèfles !;Toi, va me chercher des nèfles !
Hep, vous deux ! Schtroumpfez-moi des noix !;Hep, vous deux ! Trouvez-moi des noix !
Si on schtroumpfait plutôt de la salsepareille ! C'est bon la salsepareille !;Si on cherchait plutôt de la salsepareille ! C'est bon la salsepareille !
Le Grand Schtroumpf a dit des noix, et nous schtroumpferons des noix.;Le Grand Schtroumpf a dit des noix, et nous chercherons des noix.
Grand Schtroumpf, regardez ce que j'ai schtroumpfé ! Des noisettes ! Des tas de noisettes !!;Grand Schtroumpf, regardez ce que j'ai trouvé ! Des noisettes ! Des tas de noisettes !!
Ah ! Voilà les pommes ! Schtroumpfez-les là bas !;Ah ! Voilà les pommes ! Mettez-les là bas !
- Si tu commences à schtroumpfer les provisions, que schtroumpferas-tu quand la bise sera venue ? - Je ne le schtroumpferai plus jamais !... Snif !... C'est schtroumpfé !;- Si tu commences à entamer les provisions, que mangeras-tu quand la bise sera venue ? - Je ne le ferai plus jamais !... Snif !... C'est juré !
Grand Schtroumpf, Grand Schtroumpf ! J'ai schtroumpfé une nèfle !;Grand Schtroumpf, Grand Schtroumpf ! J'ai trouvé une nèfle !
Allons voir si tout schtroumpfe bien à la réserve !;Allons voir si tout va bien à la réserve !
- Le grenier est rempli Grand Schtroumpf ! - Bien, l'hiver peut venir ! Nous aurons de quoi schtroumpfer !;- Le grenier est rempli Grand Schtroumpf ! - Bien, l'hiver peut venir ! Nous aurons de quoi manger !
[Tout est revouvert d'un épais tapis blanc...] Il a schtroumpfé ! Il a schtroumpfé ! Venez-vite ! On va se schtroumpfer à coup de boules de schtroumpf !;[Tout est revouvert d'un épais tapis blanc...] Il a neigé ! Il a neigé ! Venez-vite ! On va se battre à coup de boules de neige !
Brrr... il ne fait pas schtroumpf ! ... ASCHTROUMPF ! Ça y est ! Snif... J'ai attrapé un schtroumpf de cerveau !;Brrr... il ne fait pas chaud ! ... ATCHOUM ! Ça y est ! Snif... J'ai attrapé un rhume de cerveau !
Il n'est pas beau mon bonhomme de schtroumpf ? Si !;Il n'est pas beau mon bonhomme de neige ? Si !
DING DONG DING ! - Oh ! Écoute ! C'est la schtroumpf d'alarme !;DING DONG DING ! - Oh ! Écoute ! C'est la cloche d'alarme !
Vite ! Schtroumpfez des récipients ! Faites la chaîne ! Schtroumpfez-vous, non d'un petit schtroumpf !;Vite ! Prenez des récipients ! Faites la chaîne ! Dépêchez-vous, non d'un petit bonhomme !
Zut ! L'eau de la schtroumpf est gelée !;Zut ! L'eau de la rivière est gelée !
PLOUF ! - Allons, sors de là ! Ce n'est vraiment pas le moment de prendre un schtroumpf !;PLOUF ! - Allons, sors de là ! Ce n'est vraiment pas le moment de prendre un bain !
Quel désastre ! C'est à s'arracher les schtroumpfs !;Quel désastre ! C'est à s'arracher les cheveux !
Mais... Mais alors... ... S'il ne reste rien à schtroumpfer... Nous allons tous mourir de schtroumpf !;Mais... Mais alors... ... S'il ne reste rien à manger... Nous allons tous mourir de faim !
- Allons, du calme, ne nous affolons pas ! - Il faut schtroumpfer quelque chose Grand Schtroumpf ! - Vous avez raison, il faut schtroumpfer quelque chose !... Faites-moi confiance ! Je schtroumpferai quelque chose !... Oui il faut absolument schtroumpfer quelque chose ! Mais QUOI ? ... - Alors ? Vous avez trouvé quelque chose Grand Schtroumpf ? - Heu... pas encore ! Mais je schtroumpfe, je schtroumpfe !;- Allons, du calme, ne nous affolons pas ! - Il faut faire quelque chose Grand Schtroumpf ! - Vous avez raison, il faut faire quelque chose !... Faites-moi confiance ! Je trouverai quelque chose !... Oui il faut absolument faire quelque chose ! Mais QUOI ? ... - Alors ? Vous avez trouvé quelque chose Grand Schtroumpf ? - Heu... pas encore ! Mais je cherche, je cherche !
- Ce que j'ai schtroumpf ! - Et moi donc ! J'ai l'estomac dans les schtroumpfs ! - Où vas-tu ? Schtroumpfer ! Comme dit le proverbe, qui schtroumpfe dîne !;- Ce que j'ai faim ! - Et moi donc ! J'ai l'estomac dans les talons ! - Où vas-tu ? Dormir ! Comme dit le proverbe, qui dort dîne !
- J'AI SCHTROUMPF ! - Qu'est-ce que tu dis ? - Je dis : J'AI SCHTROUMPF ! - Quoi ? - Je dis... Mais tu es sourd ? - Non ! Mais schtroumpf affamé n'a pas d'oreilles !;- J'AI FAIM ! - Qu'est-ce que tu dis ? - Je dis : J'AI FAIM ! - Quoi ? - Je dis... Mais tu es sourd ? - Non ! Mais ventre affamé n'a pas d'oreilles !
- Je commence à en avoir assez de me schtroumpfer la ceinture ! - Moi je schtroumpferais n'importe quoi ! Même de la schtroumpf enragée !;- Je commence à en avoir assez de me serrer la ceinture ! - Moi je mangerais n'importe quoi ! Même de la vache enragée !
- Je meurs de schtroumpf ! - Moi j'ai soif !;- Je meurs de faim ! - Moi j'ai soif !
Grand Schtroumpf ! Grand Schtroumpf ! Ils parlent de tirer à la courte schtroumpf pour savoir qui, qui, qui...;Grand Schtroumpf ! Grand Schtroumpf ! Ils parlent de tirer à la courte paille pour savoir qui, qui, qui...
- Abandonner le village ? - Schtroumpfer nos maisons ? - Mais, Grand Schtroumpf...;- Abandonner le village ? - Laisser nos maisons ? - Mais, Grand Schtroumpf...
Je vais demander à Schtroumpf de me schtroumpfer un coup de main !;Je vais demander à Schtroumpf de me donner un coup de main !
- Tous les Schtroumpfs sont là ? - Non ! Il en manque un Grand Schtroumpf ! - Allez me le schtroumpfer ! Schtroumpfez-vous !;- Tous les Schtroumpfs sont là ? - Non ! Il en manque un Grand Schtroumpf ! - Allez me le chercher ! Dépêchez-vous !
- Eh bien, alors ? Tu viens ? On s'en va ! - Non ! Allez-vous en ! Moi, je schtroumpfe ici ! Je suis schtroumpfé ici ! J'ai schtroumpfé ici ! Je schtroumpferai ici ! - Allons, sois schtroumpf ! Il faut partir ! - Non !;- Eh bien, alors ? Tu viens ? On s'en va ! - Non ! Allez-vous en ! Moi, je reste ici ! Je suis né ici ! J'ai vécu ici ! Je mourrai ici ! - Allons, sois raisonnable ! Il faut partir ! - Non !
Oh-oh ! Il va falloir faire la courte schtroumpf !;Oh-oh ! Il va falloir faire la courte échelle !
- Bêêê, c'est plein de schtroumpfs d'araignées ici ! - Oui ! On dirait que ce château est abandonné ! - Moi j'ai la schtroumpf ! Allons-nous en ! - Attention, on vient ! Schtroumpfez-vous !;- Bêêê, c'est plein de toiles d'araignées ici ! - Oui ! On dirait que ce château est abandonné ! - Moi j'ai la frousse ! Allons-nous en ! - Attention, on vient ! Sauvez-vous !
Ouf, ce n'était qu'une souris ! J'ai eu schtroumpf !;Ouf, ce n'était qu'une souris ! J'ai eu peur !
Beuh ! Il fait noir comme dans un schtroumpf, ici !;Beuh ! Il fait noir comme dans un four, ici !
- Mais alors, vous n'avez plus rien à schtroumpfer ! - Qu'est-ce que tu dis ? - Il demande si vous n'avez plus rien à manger !;- Mais alors, vous n'avez plus rien à manger ! - Qu'est-ce que tu dis ? - Il demande si vous n'avez plus rien à manger !
- Non mais, schtroumpfe moi un peu ce trésor ! ...M'en schtroumpfe !;- Non mais, regarde moi un peu ce trésor ! ...M'en fiche !
Il y en a encore beaucoup ! On ira vous les schtroumpfer !;Il y en a encore beaucoup ! On ira vous les chercher !
Regardez, c'est plein d'or ! Nous avons schtroumpfé un trésor au fond d'un trou !;Regardez, c'est plein d'or ! Nous avons trouvé un trésor au fond d'un trou !
- Tu es tout pâle ? Ça ne va pas ? - Non, j'ai schtroumpfé trop de gâteau, de pâté et de salsepareille ces jours-ci ! Bheuheuuuuu...;- Tu es tout pâle ? Ça ne va pas ? - Non, j'ai mangé trop de gâteau, de pâté et de salsepareille ces jours-ci ! Bheuheuuuuu...
