Saprischtroumpf !;Sapristi !
Ce qui est schtroumpfant c'est qu'il n'y a pas d'euphorbe par ici ! Il faut aller très loin pour en schtroumpfer !;Ce qui est embêtant c'est qu'il n'y a pas d'euphorbe par ici ! Il faut aller très loin pour en trouver !
Tant pis ! Je vais mettre quelques graines d'ellébore à la place ! On schtroumpfera bien ce que ça schtroumpfera !;Tant pis ! Je vais mettre quelques graines d'ellébore à la place ! On verra bien ce que ça donnera !
Je partirai en schtroumpfer demain matin !;Je partirai en chercher demain matin !
Je ne reviendrai pas avant quelques schtroumpfs ! Soyez bien schtroumpfs pendant mon absence !;Je ne reviendrai pas avant quelques jours ! Soyez bien sages pendant mon absence !
Bon ! Qui est-ce qui schtroumpfe à la balle avec moi ?;Bon ! Qui est-ce qui joue à la balle avec moi ?
Pas question ! Nous devons schtroumpfer sur le pont de la rivière Schtroumpf ! Allons ! Tout le monde au schtroumpf ! Et schtroumpfez-vous !;Pas question ! Nous devons travailler sur le pont de la rivière Schtroumpf ! Allons ! Tout le monde au travail ! Et dépêchez-vous !
Non mais dis donc, on schtroumpfera ce qu'on veut !;Non mais dis donc, on fera ce qu'on veut !
Va te faire schtroumpfer un oeuf !;Va te faire cuire un oeuf !
J'ai dit que nous schtroumpferons au pont, et nous schtroumpferons au pont !;J'ai dit que nous irons au pont, et nous irons au pont !
C'est moi qui commande ! Toi ? Tu n'es pas un peu schtroumpf non ? C'est moi qui commanderai ! Compris ?;C'est moi qui commande ! Toi ? Tu n'es pas un peu fou non ? C'est moi qui commanderai ! Compris ?
Toi ! Ha ! Ha! Laisse moi schtroumpfer !;Toi ! Ha ! Ha! Laisse moi rire !
Et celui qui n'est pas content, je lui schtroumpfe ma schtroumpf sur la schtroumpf !;Et celui qui n'est pas content, je lui collerai ma main sur la figure !
Il faut pourtant schtroumpfer une solution !;Il faut pourtant trouver une solution !
Ça, c'est une idée schtroumpfante ! Allons vite schtroumpfer les autres !;Ça, c'est une idée épatante ! Allons vite prévenir les autres !
Schtroumpfez-moi bien ! On a schtroumpfé un système pour savoir qui va remplacer le Grand Schtroumpf ! On va utilser le suffrage universchtroumpf ! Bon ! Que chacun dise pour qui il va voter !;Écoutez-moi bien ! On a inventé un système pour savoir qui va remplacer le Grand Schtroumpf ! On va utilser le suffrage universel ! Bon ! Que chacun dise pour qui il va voter !
On s'en sortira jamais ! Alors, qu'est-ce qu'on schtroumpfe ?;On s'en sortira jamais ! Alors, qu'est-ce qu'on fait ?
La nuit schtroumpfe conseil !;La nuit porte conseil !
Quel casse-schtroumpfs, hein ! ;Quel casse-pieds, hein ! 
À qui le schtroumpfes-tu !;À qui le dis-tu !
Si j'étais élu, je schtroumpferais une loi contre les raseurs !;Si j'étais élu, je ferais une loi contre les raseurs !
Et on schtroumpferait des crêpes trois fois par semaine si j'étais élu !;Et on mangerait des crêpes trois fois par semaine si j'étais élu !
Ah ! Que tu es joli ! Que tu me sembles beau ! Sans mentir si ton schtroumpfage ressemble à ton schtroumpfage, tu es le phénix des hôtes de ces schtroumpfs !;Ah ! Que tu es joli ! Que tu me sembles beau ! Sans mentir si ton ramage ressemble à ton plumage, tu es le phénix des hôtes de ces bois !
Pfff ! Quelle chaleur, hein ? Ce n'est pas un temps pour schtroumpfer ! Et d'ailleurs je trouve qu'on schtroumpfe trop ici ! Si j'étais élu, je déciderais qu'on ne doit schtroumpfer que si on a envie !;Pfff ! Quelle chaleur, hein ? Ce n'est pas un temps pour travailler ! Et d'ailleurs je trouve qu'on travaille trop ici ! Si j'étais élu, je déciderais qu'on ne doit travailler que si on a envie !
Ça schtroumpfe ! Ça schtroumpfe ! Si je parviens à les convaincre tous, je serais élu !;Ça marche ! Ça marche ! Si je parviens à les convaincre tous, je serais élu !
Si tu votes pour moi, je schtroumpferai tes bûches !;Si tu votes pour moi, je couperai tes bûches !
Ouille ! Voilà un vote qui m'a schtroumpfé cher !;Ouille ! Voilà un vote qui m'a coûté cher !
Je me disais aussi : qui donc peut schtroumpfer une si jolie musique ?;Je me disais aussi : qui donc peut jouer une si jolie musique ?
Et puisque tu aimes la musique, je vais te schtroumpfer un petit air de ma composition !;Et puisque tu aimes la musique, je vais te jouer un petit air de ma composition !
Il faut savoir schtroumpfer pour être élu !;Il faut savoir souffrir pour être élu !
Tiens ! On m'a schtroumpfé ceci pour toi !;Tiens ! On m'a donné ceci pour toi !
Ce que je schtroumpfe le plus chez toi c'est ton sens de l'humour ! Si j'étais élu, je te schtroumpferais ministre des farces et attrapes !;Ce que j'aime le plus chez toi c'est ton sens de l'humour ! Si j'étais élu, je te nommerais ministre des farces et attrapes !
Hé, Schtroumpf ! Tu veux bien me schtroumpfer quelques feuilles de papier ?;Hé, Schtroumpf ! Tu veux bien me donner quelques feuilles de papier ?
Comment schtroumpfer pour être sûr qu'il votera pour moi celui-là ?... Et voilà ! Comme il schtroumpfe toujours tout de travers, il schtroumpfera pour moi !;;Comment faire pour être sûr qu'il votera pour moi celui-là ?... Et voilà ! Comme il fait toujours tout de travers, il votera pour moi !
Moi non plus ! Cette élection m'enschtroumpfe ! Quelle corvée de devoir voter !;Moi non plus ! Cette élection m'emmerde ! Quelle corvée de devoir voter !
Et moi je DÉTESTE voter ! Ça ne sert à rien !;Et moi je DÉTESTE voter ! Ça ne sert à rien !
C'est très gentil d'avoir pensé à schtroumpfer des affiches pour moi... Mais pourquoi ont-ils oublié mes lunettes ?;C'est très gentil d'avoir pensé à faire des affiches pour moi... Mais pourquoi ont-ils oublié mes lunettes ?
Pour un schtroumpf meilleur, votez Schtroumpf !;Pour un monde meilleur, votez Schtroumpf !
Ce soir, venez tous schtroumpfer l'allocuschtroumpf électorale de Schtroumpf ! Qu'on se le schtroumpfe !;Ce soir, venez tous schtroumpfer l'allocution électorale de Schtroumpf ! Qu'on se le dise !
Et comme dit toujours le Grand Schtroumpf: tout schtroumpfeur vit aux dépens de celui qui l'écoute !;Et comme dit toujours le Grand Schtroumpf: tout flatteur vit aux dépens de celui qui l'écoute !
Peuple schtroumpf ! Demain vous schtroumpferez aux urnes pour schtroumpfer celui qui sera votre schtroumpf ! Et à qui allez-vous donner votre voix ? À un quelconque Schtroumpf qui ne voit pas plus loin que le bout de son schtroumpf ? Non ! Il vous faut un Schtroumpf fort sur lequel vous puissiez schtroumpfer sans schtroumpfer ! Et je suis ce Schtroumpf ! Certains - que je ne schtroumpferai pas ici - schtroumpferont que je ne schtroumpfe que les honneurs ! Ce n'est pas schtroumpf ! C'est votre schtroumpf à tous que je veux , et je me schtroumpferai jusqu'à la schtroumpf s'il le faut pour que la schtroumpf règne dans nos schtroumpfs ! Et ce que je schtroumpf, je le schtroumpferai !! Schtroumpfer, voilà ma devise ! C'est pourquoi, tous ensemble, la schtroumpfe dans la schtroumpfe, vous voterez pour MOI !;Peuple schtroumpf ! Demain vous irez aux urnes pour élire celui qui sera votre chef ! Et à qui allez-vous donner votre voix ? À un quelconque Schtroumpf qui ne voit pas plus loin que le bout de son nez ? Non ! Il vous faut un Schtroumpf fort sur lequel vous puissiez compter sans hésiter ! Et je suis ce Schtroumpf ! Certains - que je ne nommerai pas ici - diront que je ne cherche que les honneurs ! Ce n'est pas vrai ! C'est votre bonheur à tous que je veux , et je me batterai jusqu'à la mort s'il le faut pour que la paix règne dans nos coeurs ! Et ce que je dis, je le ferai !! Faire, voilà ma devise ! C'est pourquoi, tous ensemble, la main dans la main, vous voterez pour MOI !
Bravo ! Il a bien schtroumpfé !;Bravo ! Il a bien parlé !
Quelqu'un a-t-il une question à schtroumpfer ?;Quelqu'un a-t-il une question à poser ?
Que mon honorable contradicteur veuille bien venir schtroumpfer tout cela à la tribune ! Je lui schtroumpfe la parole !;Que mon honorable contradicteur veuille bien venir expliquer tout cela à la tribune ! Je lui laisse la parole !
Pendant ce temps, je schtroumpfe tous ceux qui ont soif à venir schtroumpfer chez moi un bon schtroumpf de framboise...;Pendant ce temps, j'invite tous ceux qui ont soif à venir boire chez moi un bon jus de framboise...
Comme l'a si bien dit le Grand Schtroumpf, il ne faut pas schtroumpfer le manche après la cognée, et un bon schtroumpf vaut mieux que deux tu l'auras !;Comme l'a si bien dit le Grand Schtroumpf, il ne faut pas jeter le manche après la cognée, et un bon tiens vaut mieux que deux tu l'auras !
Ah ! Demain je serai élu ! Ça ne fait pas l'ombre d'un schtroumpf !;Ah ! Demain je serai élu ! Ça ne fait pas l'ombre d'un doute !
Et si au dernier moment ils schtroumpfaient de ne pas voter pour moi...;Et si au dernier moment ils décidaient de ne pas voter pour moi...
Tiens, tu entres là et tu schtroumpfe sur ce papier le nom de celui pour qui tu votes !;Tiens, tu entres là et tu écris sur ce papier le nom de celui pour qui tu votes !
Alors quoi, ça schtroumpfe, oui ou non ?;Alors quoi, ça avance, oui ou non ?
Ouiiin ! J'ai schtroumpfé l'encrier sur ma feuille !;Ouiiin ! J'ai renversé l'encrier sur ma feuille !
Le dernier Schtroumpf a voté ! Nous allons schtroumpfer au dépouillement !;Le dernier Schtroumpf a voté ! Nous allons passer au dépouillement !
Ils en schtroumpfent du temps !;Ils en mettent du temps !
- Élu, je suis élu ! - Toutes mes schtroumpfs !;- Élu, je suis élu ! - Toutes mes félicitaschtroumpf !
Schtroumpfez-moi ici un instant ! J'ai une surprise pour vous !;Attendez-moi ici un instant ! J'ai une surprise pour vous !
Qu'est-ce qu'il est allé schtroumpfer ?;Qu'est-ce qu'il est allé chercher ?
Hi ! hi ! hi ! On schtroumpferait un pissenlit ! Pourquoi as-tu schtroumpfé un costume jaune ?;Hi ! hi ! hi ! On dirait un pissenlit ! Pourquoi as-tu mis un costume jaune ?
Hi ! hi ! hi ! On a bien fait de voter pour lui ! Oh oui, c'est un marrant ! On se demande où il va les schtroumpfer !;Hi ! hi ! hi ! On a bien fait de voter pour lui ! Oh oui, c'est un marrant ! On se demande où il va les chercher !
- Ha ! ha ! ha ! Hi ! Hi ! Hi ! Hi ! Hi ! Ho ! Ho ! Ho ! - Ah on se schtroumpfe de moi ! Ça ne se schtroumpfera pas comme ça ! Ça va schtroumpfer ! Ah ! mais...;- Ha ! ha ! ha ! Hi ! Hi ! Hi ! Hi ! Hi ! Ho ! Ho ! Ho ! - Ah on se moque de moi ! Ça ne se passera pas comme ça ! Ça va barder ! Ah ! mais...
Vous vous souvenez que tu m'avais promis de me schtroumpfer soliste en chef si vous étiez élu ?...;Vous vous souvenez que tu m'avais promis de me nommer soliste en chef si vous étiez élu ?...
C'est exact ! Schtroumpf promise, schtroumpf due !...;C'est exact ! Chose promise, chose due !...
Néanmoins j'estime que vous êtes schtroumpfé à de plus hautes destinées ! Un schtroumpf de votre envergure se schtroumpferait à l'étroit dans une fonction mineure ! Aussi j'ai décidé de vous schtroumpfer à un poste bien plus important !;Néanmoins j'estime que vous êtes appelé à de plus hautes destinées ! Un schtroumpf de votre envergure se sentirait à l'étroit dans une fonction mineure ! Aussi j'ai décidé de vous nommer à un poste bien plus important !
Non non ne me remerciez pas ! C'est la moindre des schtroumpfs !;Non non ne me remerciez pas ! C'est la moindre des choses !
Les Schtroumpfs doivent respect et obéissance au Schtroumpfissime ! Tout contrevenant sera sévèrement schtroumpfé !;Les Schtroumpfs doivent respect et obéissance au Schtroumpfissime ! Tout contrevenant sera sévèrement puni !
Attendez ! Je vais aller lui schtroumpfer deux mots moi au Schtroumpfissime !;Attendez ! Je vais aller lui dire deux mots moi au Schtroumpfissime !
Alors ! Qu'est-ce que c'est que ces schtroumpferies ? Parce qu'ont est élu on se schtroumpfe tout permis ? Et tu crois sans doute qu'on va se laisser schtroumpfer sans rien dire ? Hein ?;Alors ! Qu'est-ce que c'est que ces conneries ? Parce qu'ont est élu on se croit tout permis ? Et tu crois sans doute qu'on va se laisser faire sans rien dire ? Hein ?
Il me faut quelqu'un qui fasse respecter la discipline parmi les Schtroumpfs !;Il me faut quelqu'un qui fasse respecter la discipline parmi les Schtroumpfs !
Toi, toi et toi ! Schtroumpfez avec moi chez me Schtroumpfissime !;Toi, toi et toi ! Venez avec moi chez me Schtroumpfissime !
Allons, circulez ! Et le premier qui schtroumpfe, je le schtroumpfe dedans !;Allons, circulez ! Et le premier qui bronche, je le mets dedans !
Avis à la populaschtroumpf ! Par ordre du Schtroumpfissime, tous les Schtroumpfs doivent se schtroumpfer dans une heure sur la grand-schtroumpf avec pelles et pioches !;Avis à la population ! Par ordre du Schtroumpfissime, tous les Schtroumpfs doivent se présenter dans une heure sur la grand-place avec pelles et pioches !
Qu'est-ce qu'il croit ? On n'a pas que ça à schtroumpfer !;Qu'est-ce qu'il croit ? On n'a pas que ça à faire !
J'ai des tas de schtroumpfs urgents à terminer !;J'ai des tas de trucs urgents à terminer !
Ah, je suis certain que ces braves petits Schtroumpfs auront schtroumpfé comme un seul Schtroumpf à mon appel !;Ah, je suis certain que ces braves petits Schtroumpfs auront répondu comme un seul Schtroumpf à mon appel !
Allez me schtroumpfer tous les schtroumpfs, et schtroumpfez-les moi, de gré ou de schtroumpf !;Allez me chercher tous les schtroumpfs, et ammenez-les moi, de gré ou de force !
Je me schtroumpferai ! Ça ne se schtroumpfera pas comme ça ! Vous n'avez pas le schtroumpf de faire ça !;Je me vengerai ! Ça ne se passera pas comme ça ! Vous n'avez pas le droit de faire ça !
Vous ne le schtroumpferez pas en paradis !;Vous ne l'emporterez pas en paradis !
Moi je n'aime pas schtroumpfer des trous !;Moi je n'aime pas creuser des trous !
Bon ! Personne ne schtroumpfe de mon côté ! Profitons-en pour aller schtroumpfer un petit roupillon dans un coin !;Bon ! Personne ne regarde de mon côté ! Profitons-en pour aller piquer un petit roupillon dans un coin !
Et puis c'est en schtroumpfant que l'on devient schtroumpferon, comme le dit si bien le Schtroumpfissime !;Et puis c'est en forgeant que l'on devient forgeron, comme le dit si bien le Schtroumpfissime !
Non mais, schtroumpfez moi ça ! Il se croit sorti de la schtroumpf de Jupiter ! Ça veut schtroumpfer plus haut que son schtroumpf !;Non mais, regardez moi ça ! Il se croit sorti de la cuisse de Jupiter ! Ça veut péter plus haut que son cul !
